kind	id	a	b	t0	r2_or_tfail	extra
fit	8	9.999999999408743	0.004927366682516991	1.480809705919659	0.983166844066943	6.492129987689326
fit	9	9.999878841646428	0.0026732697421378068	2.0933358931265045	0.99438432103625	11.330304281636668
fit	10	9.999999999999998	0.00246927339603098	0.0	0.6011561769741325	9.999950847913974
fit	11	9.999999996495538	0.002062924339072657	2.881830049509224	0.9848159055773859	14.851543204388657
fit	12	0.16658112905408146	0.09071234113700871	1.983221209830196	0.9828432088779405	12.087676308894471
fit	14	9.9999999999678	0.004094627234341193	1.111944825442734	0.9414444625105303	7.142435802339433
unit	id	sigma	S	a	b	t0	t_fail	t_alarm	hit	fa_rate
unit	155	1	0.08567542351293418	8.472590372355025	4.07962221402331	0.001822646207603737	44.42559967683656	77.05722063522524	0.02638888888888889	1	nan
unit	156	0	0.0675836924517922	9.494772358585028	23.422769021291483	0.002824315106821337	nan	nan	nan	0	144.9
unit	157	1	0.07889793219269021	8.499716642980067	2.8937604776229526	0.03507710373630771	22.642909996314643	25.005215296743344	0.0875	1	nan
unit	158	0	0.5998237311057958	1.6316276612167815	2.0171407213886843	0.058512053720091106	nan	nan	nan	0	452.3
unit	159	1	0.07003120857964042	9.03106919272778	0.44591982927790996	0.004099469439883184	98.84909775631712	207.42297335848417	0.10138888888888889	0	nan
unit	160	0	0.07368534337228515	8.428932672355476	28.082016284564116	0.0009200929462455756	nan	nan	nan	0	233.2
unit	161	1	0.17150235877700495	4.7662767211909225	1.3717410966364778	0.009467085074366307	93.54411429780973	111.2284928986944	0.0625	1	nan
unit	162	0	0.08972075944477054	8.532005144513137	8.690826458339233	0.0019807647210713423	nan	nan	nan	0	478.7
unit	163	1	0.06945089529985875	9.022742269823246	15.462991544301444	0.012744782196768546	80.03402381977492	81.29244708409094	0.5458333333333333	1	nan
unit	164	0	0.08687594411065401	8.141955282701556	5.2335644337516145	0.004677953525487513	nan	nan	nan	0	33.55
unit	165	1	0.2791776079740415	3.163557797834569	6.439445261717994	0.051548556035477464	21.115312222704752	21.85419913224471	0.4652777777777778	1	nan
unit	166	0	0.06271659177689277	8.94459617454187	2.9239621401512452	0.0007320986468883555	nan	nan	nan	0	677.65
unit	167	1	0.07003120857964042	9.03106919272778	0.3291504817794752	0.0004295533333421208	79.59865576340707	1395.0285727758087	0.10833333333333334	0	nan
unit	168	0	0.08329095362678211	7.845857503657191	10.14681823219509	0.011350177635006519	nan	nan	nan	0	435.5
unit	169	1	0.06983644824742441	8.933652988792224	6.914245459455275	0.0042934387102908375	49.70896674610014	57.98180030517555	0.5041666666666667	1	nan
unit	170	0	0.08972075944477054	8.532005144513137	2.694694355062262	0.006611987120045406	nan	nan	nan	0	75.75
unit	171	1	0.241511327416282	4.075903805078148	21.492672802073884	0.0010725478785335615	85.76892071420419	96.55141462480799	0.8277777777777777	1	nan
unit	172	0	0.07651666925824759	8.73794474760024	10.33800869095722	0.006940702071388328	nan	nan	nan	0	2.3
unit	173	1	0.06271659177689277	8.94459617454187	0.22725879653194347	0.001016781563215723	70.1663457124733	799.8898970287453	0.05	0	nan
unit	174	0	0.06271659177689277	8.94459617454187	0.8958476361152332	0.0015537233590825089	nan	nan	nan	0	156.5
unit	175	1	0.08628542398493783	8.361438060979085	1.6971146182453891	0.016735468490725793	96.53236013864719	104.74360730086737	0.3347222222222222	1	nan
unit	176	0	0.08235991544572548	8.816557300274935	14.58755599666394	0.0026754364596014877	nan	nan	nan	0	8.7
unit	177	1	0.07114186903476657	8.67536969930431	9.144159251246998	0.009564475533104144	53.996583855349186	56.816685965651104	0.4305555555555556	1	nan
unit	178	0	0.47051878617467896	1.8354805616078302	57.94431485386286	0.008254721257549372	nan	nan	nan	0	106.15
