cmplid	elapsed_s	elapsed_kind	persist	recovery
1094382		none	until_reset	ignition
1095668		none	unreadable	unreadable
1096613		none	until_reset	ignition
1096676		none	until_reset	ignition
1096693		none	unreadable	unreadable
1097232		none	until_reset	ignition
1099862		none	unreadable	unreadable
1100288		none	unreadable	unreadable
1101205		none	unreadable	unreadable
1101288		none	unreadable	unreadable
1101749		none	until_reset	rest_or_cool
1102555		none	until_reset	ignition
1102622		none	until_reset	ignition
1103976		none	until_reset	ignition
1104790		none	until_reset	ignition
1105678		none	until_reset	ignition
1107004		none	unreadable	unreadable
1108071		none	until_reset	ignition
1108084		none	until_reset	ignition
1108095		none	until_reset	ignition
1108701		none	until_reset	rest_or_cool
1111490		none	unreadable	unreadable
1112866		none	until_reset	ignition
1114725		none	unreadable	unreadable
1117730		none	until_reset	ignition
1117931		none	unreadable	unreadable
1120893		none	unreadable	unreadable
1121419		none	unreadable	unreadable
1124455		none	until_reset	ignition
1124491		none	unreadable	unreadable
1126207		none	until_reset	ignition
1126405		none	unreadable	unreadable
1126926		none	unreadable	unreadable
1126927		none	unreadable	unreadable
1127812		none	unreadable	unreadable
1128368		none	until_reset	ignition
1129538		none	momentary	unreadable
1130062		none	until_reset	ignition
1130073		none	until_reset	ignition
1131493		none	unreadable	unreadable
1134348		none	unreadable	unreadable
1135662		none	until_reset	ignition
1136011		none	until_reset	ignition
1136446		none	until_reset	ignition
1137393		none	until_reset	ignition
1137727		none	unreadable	spontaneous
1138248		none	until_reset	ignition
1138267	3600	time	until_reset	ignition
1138770		none	until_reset	ignition
1140618		none	until_reset	rest_or_cool
1141052		none	unreadable	unreadable
1141250		none	unreadable	unreadable
1144152		none	until_reset	ignition
1144366		none	unreadable	unreadable
1144694		none	unreadable	unreadable
1146309		none	unreadable	unreadable
1147255		none	unreadable	unreadable
1147621		none	until_reset	ignition
1151761		none	unreadable	unreadable
1155107		none	unreadable	unreadable
1156560		none	unreadable	unreadable
1159455	300	time	until_reset	ignition
1160499		none	until_reset	ignition
1161694		none	until_reset	ignition
1162027		none	unreadable	unreadable
1164847		none	unreadable	unreadable
1164853	600	time	until_reset	ignition
1165619		none	until_reset	ignition
1166839		none	unreadable	unreadable
1167108		none	unreadable	unreadable
1168487		none	until_reset	ignition
1169101		none	until_reset	ignition
1174316		none	unreadable	unreadable
1176146		none	unreadable	unreadable
1176604		none	unreadable	unreadable
1176956		none	until_reset	ignition
1177286		none	unreadable	unreadable
1177573		none	until_reset	ignition
1180879		none	until_reset	rest_or_cool
1183874		none	until_reset	ignition
1184686		none	unreadable	unreadable
1186192		none	until_reset	ignition
1186433		none	unreadable	unreadable
1186968		none	until_reset	ignition
1192805		none	until_reset	ignition
1195773		none	unreadable	unreadable
1197900		none	unreadable	unreadable
