segment	bias	drift	asymmetry	lag	gain_dev	hf_noise	z_bias	z_drift	z_asymmetry	z_lag	z_gain_dev	z_hf_noise	max_abs_z	top_feature	n_valid	v_mean
00110	0.00264	0.00053	0.04265	0.1	-0.00267	0.05323	0.99027	1.94126	0.55451	0.0	0.76412	1.2496	1.94126	drift	562	15.94653
00111	-7e-05	-0.00012		0.1	-0.03102	0.0259	0.15161	-0.48097		0.0	0.04789	-0.67267	0.67267	hf_noise	599	19.93574
00112	-7e-05	-0.00027		0.1	-0.03538	0.04997	0.14972	-1.03498		0.0	-0.06224	1.02041	1.03498	drift	599	33.03851
00113	0.0043	4e-05	0.0502	0.2	-0.04058	0.04688	1.50477	0.11404	0.79329	0.67449	-0.19377	0.8029	1.50477	bias	600	32.18586
00114	0.00023	0.00015		0.1	0.01024	0.02441	0.24239	0.51831		0.0	1.09028	-0.77741	1.09028	gain_dev	600	18.53661
00116	-0.00368	0.00029		0.2	-0.23817	0.03422	-0.96952	1.06116		0.67449	-5.18571	-0.08732	5.18571	gain_dev	600	32.94968
00117	0.00035	6e-05	0.01939	0.1	-0.01502	0.04042	0.27986	0.20985	-0.18131	0.0	0.45205	0.34918	0.45205	gain_dev	600	18.83668
00118	-0.0007	-4e-05		0.2	-0.55833	0.03833	-0.04304	-0.17608		0.67449	-13.27449	0.2017	13.27449	gain_dev	599	21.55846
00119	-0.00536	0.00015		0.1	-0.1082	0.00753	-1.49007	0.54339		0.0	-1.90204	-1.96441	1.96441	hf_noise	449	8.18986
00120	-0.00615	2e-05		0.0	-0.00805	0.032	-1.73476	0.05146		-0.67449	0.62812	-0.24345	1.73476	bias	600	15.04166
00121	0.00183	-0.00032	-0.01966	0.0	0.00061	0.0336	0.74087	-1.19792	-1.41677	-0.67449	0.84683	-0.13111	1.41677	asymmetry	599	29.97131
00122	0.00041	-0.00014		0.1	-0.03912	0.04726	0.29799	-0.52841		0.0	-0.15693	0.8301	0.8301	hf_noise	600	26.31686
00123	0.00309	0.00033	0.0119	0.2	-0.01475	0.04556	1.12896	1.20441	-0.41839	0.67449	0.45884	0.71007	1.20441	drift	599	24.00742
00124	-0.00188	3e-05		0.1	-0.0202	0.04197	-0.40919	0.09919		0.0	0.32109	0.4576	0.4576	hf_noise	600	30.41602
00125	0.0053	-0.00012	0.00697	0.0	-0.01253	0.04011	1.81478	-0.46974	-0.57426	-0.67449	0.51505	0.32704	1.81478	bias	599	24.57094
00126	0.00215	-9e-05		0.2	-0.49168	0.03065	0.83775	-0.36909		0.67449	-11.59063	-0.33844	11.59063	gain_dev	600	23.36958
00127	-0.00498	0.00016	0.06019	0.1	-0.03438	0.03933	-1.37004	0.57686	1.10929	0.0	-0.03701	0.2723	1.37004	bias	599	31.8197
00128	-0.00022	8e-05		0.2	-0.26362	0.02822	0.104	0.27756		0.67449	-5.82874	-0.50919	5.82874	gain_dev	600	21.17102
00129	0.00139	2e-05	0.01155	0.1	-0.012	0.02625	0.60429	0.04923	-0.42924	0.0	0.52834	-0.64743	0.64743	hf_noise	599	18.6537
00130	-0.00472	-0.00033	0.05711	0.1	-0.02418	0.02874	-1.29068	-1.25271	1.01209	0.0	0.22068	-0.47258	1.29068	bias	599	23.08004
00131	-0.00078	-0.0	-0.00422	0.1	0.01368	0.0175	-0.06895	-0.02144	-0.92836	0.0	1.17729	-1.26336	1.26336	hf_noise	600	17.16495
00132	0.00262	-0.00021		0.2	-0.11621	0.04566	0.98382	-0.78494		0.67449	-2.10446	0.71732	2.10446	gain_dev	599	30.88985
00133	0.00725	0.00023	0.12994	0.1	-0.02319	0.05594	2.41824	0.82617	3.31607	0.0	0.24557	1.44048	3.31607	asymmetry	600	24.36099
00134	-0.00383	0.00047		0.2	-0.17793	0.05826	-1.01332	1.72166		0.67449	-3.66386	1.60367	3.66386	gain_dev	600	30.40261
00135	-0.00287	-0.00026		0.1	-0.12682	0.02583	-0.71582	-0.99893		0.0	-2.37248	-0.677	2.37248	gain_dev	600	25.3728
00136	0.00109	0.00039	0.03159	0.1	-0.02111	0.04777	0.50886	1.42936	0.2045	0.0	0.29815	0.86612	1.42936	drift	599	26.45826
00137	0.00215	4e-05		0.2	-0.40928	0.02372	0.8389	0.11386		0.67449	-9.50892	-0.82567	9.50892	gain_dev	599	30.84059
00138	0.00474	-0.00035	0.01232	0.1	0.00011	0.02598	1.64118	-1.32054	-0.40499	0.0	0.83439	-0.6669	1.64118	bias	599	13.55904
00139	-0.00339	-5e-05	0.05969	0.1	-0.04261	0.03419	-0.87807	-0.21531	1.09349	0.0	-0.24498	-0.08934	1.09349	asymmetry	599	17.2382
00140	-0.00277	-1e-05		0.1	-0.05756	0.03693	-0.68729	-0.05476		0.0	-0.62274	0.10372	0.68729	bias	600	21.5043
00141	-0.00121	-0.00028	0.05272	0.1	-0.03345	0.03645	-0.2033	-1.0591	0.87308	0.0	-0.01355	0.06938	1.0591	drift	599	19.94185
00142	-0.00024	-0.00052		0.2	-0.29866	0.03973	0.09806	-1.94311		0.67449	-6.71418	0.3006	6.71418	gain_dev	599	29.21652
00143	0.00168	-0.00028		0.1	-0.0336	0.04527	0.69463	-1.0553		0.0	-0.01736	0.68986	1.0553	drift	599	26.44709
00145	-0.0033	-0.00013	0.04403	0.1	-0.02081	0.06765	-0.85132	-0.50937	0.59831	0.0	0.30574	2.26389	2.26389	hf_noise	600	21.74428
00146	-0.00245	0.00036		0.2	-0.04746	0.0359	-0.58709	1.3193		0.67449	-0.36757	0.03131	1.3193	drift	599	30.4209
00147	-0.00043	4e-05	0.02185	0.2	-0.00654	0.03178	0.03964	0.1207	-0.10342	0.67449	0.66621	-0.25852	0.67449	lag	600	25.50182
00148	-0.00241	0.00014		0.2	-0.11776	0.0417	-0.57412	0.4964		0.67449	-2.14375	0.43916	2.14375	gain_dev	599	30.32914
00149	-0.00305	0.00015	0.01024	0.2	-0.01444	0.02417	-0.77315	0.51917	-0.47077	0.67449	0.46672	-0.79387	0.79387	hf_noise	599	18.98804
00150	-0.00835	-0.00025	0.02211	0.0	-0.01199	0.03324	-2.41559	-0.93219	-0.09522	-0.67449	0.52866	-0.15594	2.41559	bias	599	29.11184
